Sanggunian ng mga Mag-Aaral,Sanggunian,sanggunian.ls,*@obf.ateneo.edu
Ateneo Comission on Elections,Sanggunian - COMELEC,comelec.ls,*@obf.ateneo.edu
Department of Student Welfare and Services,Sanggunian - DSWS,dsws.ls,*@obf.ateneo.edu
Sanggunian - JGSOM School Board,Sanggunian - JGSOM,jgsom.ls,*@obf.ateneo.edu
Office of the Ombudsman,Sanggunian - Ombudsman,ombudsman.ls,*@obf.ateneo.edu
Sanggunian - School of Humanities,Sanggunian - SOH,soh.ls,*@obf.ateneo.edu
Sanggunian - School Science and Engineering,Sanggunian - SOSE,sose.ls,*@obf.ateneo.edu
Sanggunian - School of Social Sciences,Sanggunian - SOSS,soss.ls,*@obf.ateneo.edu
Sanggunian - Student Judicial Court,Sanggunian - SJC,sjc.ls,*@obf.ateneo.edu
